SkillId,Skill_US,Phases
117,mixed signal oscilloscopes,Tooling and Machining
118,aneurysm diagnosis / treatment,Tooling and Machining
120,coagulation factor,Materials
121,immune response regulation,Support Activities
122,signals intelligence,Support Activities
123,dna arrays,Materials
126,data warehouse development,Software
127,wastewater treatment,Tooling and Machining
128,legal document interpretation,Support Activities
130,plan revision,General Skills
131,ws_ftp,Software
132,metric studio,Software
133,packaging regulations,Support Activities
136,landfill gas collection,Supply Chain and Logistics
139,legal document composition,Support Activities
140,payment receiving,Support Activities
142,leukemia diagnosis / treatment,Materials
144,business intelligence reporting,Support Activities
147,bath hardware,Tooling and Machining
150,propensity modeling,Support Activities
154,color editing,Design
157,clinical research trials,Ideation and Development
158,mining engineering,Support Activities
159,laceration,Software
161,appliance design,Tooling and Machining
163,data operations,Software
164,flaring tools,Tooling and Machining
165,ulcerative colitis,Materials
166,green manufacturing,Production and Assembling
167,gastrointestinal (gi) bleeding,Software
168,biotransformations,Software
169,environmental data analysis,Support Activities
171,wooden structure building,Design
172,billing arrangements,Support Activities
177,apache webserver,Software
178,metal mining,Materials
181,solar development,Ideation and Development
182,coordinate measuring machine (cmm),Tooling and Machining
184,surgical technician,Tooling and Machining
186,iso 16949,Software
188,soil management,Support Activities
190,environmental policy,Support Activities
192,space maintainers,Software
193,fire detection,Support Activities
197,service improvement,Support Activities
200,staffing,Support Activities
201,gas pipe sizing,Tooling and Machining
204,incus,Software
205,pcte,Software
206,archival principles,Support Activities
207,residential energy efficiency,Tooling and Machining
208,information systems management,Software
209,print shop,Design
211,agricultural biotechnology,Materials
212,disposal procedure,Support Activities
216,pelvic surgery,Software
217,oxygen mask,Tooling and Machining
220,greenhouse gas (ghg) emissions,Support Activities
221,acute illness,Software
223,microsoft dynamics,Software
224,controls adjustment,Support Activities
225,bioinformatic algorithms,Software
228,debugging,Software
229,vehicle tracking systems,Supply Chain and Logistics
230,bolus,Materials
233,consumer media relations,Support Activities
235,tool sockets,Tooling and Machining
236,sonata,Software
238,newborn screening,Support Activities
240,financial statement generation,Support Activities
242,management industry knowledge,Support Activities
243,convulsion,Software
244,motif,Support Activities
245,electrical control,Tooling and Machining
246,urologic surgery,Tooling and Machining
247,applix,Software
250,paychex,Support Activities
253,inventory checking,Support Activities
256,treatment administration,Support Activities
257,urban studies,Support Activities
259,solar photovoltaic technology,Tooling and Machining
260,prophylaxis,Materials
261,toggle presses,Support Activities
264,packaging,Support Activities
266,process improvement,Support Activities
267,neuropsychology,Software
269,electrosurgery,Software
270,financial risk monitoring,Support Activities
271,computerized provider order entry (cpoe),Software
272,employee conflict resolution,Support Activities
273,pathogenic bacteria,Materials
274,cardiac electrophysiology,Tooling and Machining
275,genetic algorithms,Support Activities
277,water injection,Software
281,compression fracture,Tooling and Machining
282,treadmill test,Tooling and Machining
283,immunopathology,Software
284,multi-engine land,Software
286,planimeters,Software
288,supply chain costs,Supply Chain and Logistics
289,carbon footprint reduction,Support Activities
290,geophysics,Materials
291,sleep apnea,Software
292,conduit running,Tooling and Machining
294,dental impressions,Support Activities
298,schizoaffective disorder,Software
300,data warehousing,Software
303,enterprise messaging,Support Activities
304,machinery cleaning,Tooling and Machining
307,basic research,Ideation and Development
308,interaction with patients / medical personnel,Support Activities
310,tension machines,Tooling and Machining
311,liver cancer knowledge,Materials
312,port operations,Support Activities
314,splunk,Software
315,pipe cutters,Tooling and Machining
316,report writing,Support Activities
317,chromosome analysis,Materials
319,current meters,Support Activities
320,supply chain realignment,Supply Chain and Logistics
321,red hat linux,Software
323,chest pain diagnosis / treatment,Tooling and Machining
325,supply chain manufacturing,Supply Chain and Logistics
327,variance explanation,Support Activities
330,biosample analysis,Support Activities
332,plows,Tooling and Machining
334,teen health,Software
335,neuronal circuitry,Materials
337,bookkeeping,Support Activities
338,signal generators,Tooling and Machining
339,nvivo,Software
340,speed square,Supply Chain and Logistics
342,brush painting,Design
343,low cost country sourcing,Supply Chain and Logistics
344,web 2.0,Software
347,gene expression control,Materials
348,language testing,Support Activities
349,solar products,Support Activities
351,grievance procedures,Support Activities
354,solar energy system development,Ideation and Development
355,editcnc software,Software
356,micro-milling,Software
357,green communities,Support Activities
359,basic finishing tools,Tooling and Machining
361,scheduling,Support Activities
362,mrsa,Support Activities
363,rapid prototyping,Ideation and Development
364,heimlich maneuver,Software
365,cytotoxic,Support Activities
367,supply chain management,Supply Chain and Logistics
370,procurement proposals,Support Activities
372,nasogastric,Software
374,renal dialysis,Tooling and Machining
377,aromatherapy,Software
378,revenue recognition,Support Activities
384,raw materials purchasing,Supply Chain and Logistics
386,corporate forecasting,Support Activities
387,assay validation evaluation,Support Activities
390,diacap implementation plan,Software
391,online copy,Support Activities
396,genetic diseases treatment,Support Activities
397,cash flow management,Support Activities
398,patient training,Support Activities
400,benefits program administration,Support Activities
401,decision analysis,Support Activities
403,air quality standards,Production and Assembling
404,pc installation,Software
405,laboratory procedures,Support Activities
407,encephalitis,Software
410,procedure formulation,Support Activities
411,greenhouse gas,Tooling and Machining
412,water heater repair,Tooling and Machining
415,towing vehicles,Tooling and Machining
416,automated external defibrillator,Tooling and Machining
417,lodge sales,Support Activities
419,central lines,Tooling and Machining
420,environmental treatment,Support Activities
421,microsoft word,Software
422,fissure,Materials
423,safe sex,Support Activities
424,cell manipulation,Materials
426,therapy,Software
427,radioisotopes,Materials
428,aleve,Software
431,global supply chain management,Supply Chain and Logistics
432,local electrical codes,Tooling and Machining
433,market analysis,Support Activities
434,heart attack diagnosis / treatment,Software
435,detector tubes,Tooling and Machining
436,child cpr,Support Activities
437,operating expense trends,Support Activities
438,asset consolidation,Support Activities
439,peripheral vascular disease knowledge,Materials
440,preclinical study,Support Activities
441,confectionery industry knowledge,Production and Assembling
442,carrier development,Ideation and Development
443,liquidity management,Support Activities
444,hydrotherapy,Software
446,academic advisement,Support Activities
447,structural failure analysis,Support Activities
448,traffic operation analysis,Supply Chain and Logistics
449,fluids environmental services,Tooling and Machining
451,youth justice board,Support Activities
452,biosample collection,Support Activities
453,occupational health and safety,Support Activities
455,employee relations,Support Activities
457,cargo security,Supply Chain and Logistics
458,bank compliance,Support Activities
460,machine tools,Tooling and Machining
462,truth in negotiations act (tina),Support Activities
463,basic care services,Support Activities
466,nutritional support,Support Activities
468,data manipulation,Support Activities
469,retrovirus,Materials
470,symptoms recording,Software
472,resolving pricing problems,Support Activities
473,vendor managed inventory (vmi),Supply Chain and Logistics
474,data analysis,Support Activities
478,cable pulling,Tooling and Machining
479,medical science,Materials
481,yoga,Software
482,training policy,Support Activities
483,audit scheduling,Support Activities
484,solar contractor,Support Activities
485,student learning outcomes,Support Activities
486,business tourism,Support Activities
487,low voltage electrical work,Tooling and Machining
488,breast surgery,Support Activities
489,oracle fusion,Software
491,nailing,Tooling and Machining
493,test result summary,Support Activities
495,iec 61508,Software
496,wind energy industry knowledge,Supply Chain and Logistics
497,post traumatic stress disorder,Software
498,refunding money,Support Activities
499,recombinant protein purification,Materials
500,corba,Software
501,industrial control software,Software
502,mckenzie skilled,Software
504,dna sequencing,Materials
505,computerized payroll systems,Software
508,order point system,Support Activities
510,machine operation,Tooling and Machining
512,clinical psychology,Ideation and Development
515,financial industry knowledge,Support Activities
516,otoscope,Software
518,clinical responsibility,Support Activities
520,customer complaint resolution,Support Activities
521,risk/benefit ratio,Support Activities
523,virtual reality modelling language (vrml),Support Activities
525,floral design,Support Activities
526,software installation,Software
528,site assessments,Support Activities
531,tigerpaw,Software
532,finite element analysis,Software
533,uncoupling,Software
536,k-means,Support Activities
538,campaign performance analysis,Support Activities
539,apical,Materials
540,infant feeding,Tooling and Machining
544,cargo handling,Supply Chain and Logistics
546,prosthesis,Software
549,group sales,Support Activities
550,tax audits,Support Activities
552,bsl-3,Software
553,neck pain diagnosis / treatment,Software
555,polyp,Software
556,patient positioning,Support Activities
557,inventory level review,Supply Chain and Logistics
559,advertising industry knowledge,Support Activities
561,clinical reasoning,Support Activities
563,mims,Materials
565,materials analysis,Support Activities
567,expenditure authorization,Support Activities
568,power tools,Tooling and Machining
569,non-fiction,Support Activities
570,engineering industry knowledge,Production and Assembling
571,heart failure,Software
572,dock-to-stock,Software
573,toxicity,Materials
574,employment rights,Support Activities
575,dental equipment,Tooling and Machining
578,child care facility,Support Activities
579,neurobiology,Materials
583,knowledge of clinical applications,Materials
584,radio frequency (rf) design,Software
585,housing industry knowledge,Supply Chain and Logistics
586,pulmonary arterial hypertension,Materials
587,photovltaic mounting solutions,Tooling and Machining
590,financial management,Support Activities
592,tritium,Materials
594,new product development,Ideation and Development
595,planogram execution,Supply Chain and Logistics
596,retinal disease knowledge,Materials
598,visual studio,Software
600,library 2.0,Software
601,oracle human resources,Software
602,tariffs,Support Activities
603,active tuberculosis,Support Activities
607,social media,Support Activities
610,reforestation,Software
611,jet trucks,Tooling and Machining
612,administrative functions,Support Activities
613,brief preparation,Support Activities
615,nanoelectronics,Software
616,highway maintenance,Tooling and Machining
617,agricultural tractors,Supply Chain and Logistics
619,email technical support,Software
620,union election,Support Activities
621,medication management,Support Activities
622,valve installation,Tooling and Machining
623,property evaluation,Support Activities
624,aviation regulations,Supply Chain and Logistics
625,consumer behavior,Support Activities
627,neuropathy,Software
628,viral particle,Materials
630,electrical stimulation,Tooling and Machining
631,motivational speaking,General Skills
633,marketing metrics,Support Activities
634,disease prevention,Support Activities
635,trade show sales,Support Activities
637,supply requisition,Supply Chain and Logistics
638,home improvement industry knowledge,Support Activities
639,human resource management industry knowledge,Support Activities
640,e-health,Software
642,loan documentation,Support Activities
643,lysis,Materials
644,packing materials design,Production and Assembling
646,team portable collection system,Support Activities
647,online writing,Support Activities
649,oral health care,Support Activities
650,portfolio construction,Support Activities
653,hypertension diagnosis / treatment,Tooling and Machining
654,digital media industry knowledge,Support Activities
655,physical inventory procedures,Supply Chain and Logistics
656,procedure development,Support Activities
657,in vitro diagnostic (ivd),Software
658,metal cutters,Tooling and Machining
659,entity modelling,Software
660,retail pharmacy experience,Support Activities
661,chemical reactor vessels,Materials
662,material flow management,Supply Chain and Logistics
663,institutional effectiveness,Support Activities
664,immunotherapy,Support Activities
665,typesetting,Design
667,crop harvesting,Support Activities
669,commodities trading,Support Activities
671,mammography,Software
672,infant care,Support Activities
673,primary care provider,Software
675,supply chain planning,Supply Chain and Logistics
677,fekete,Ideation and Development
680,stickler,Software
681,informatica,Software
682,resource distribution,Supply Chain and Logistics
683,teacher development,Ideation and Development
684,geac system 21,Software
686,clinical informatics initiative implementation,Software
688,social media integration,Support Activities
689,chop saw,Tooling and Machining
690,turbo tax,Software
693,reagent preparation,Materials
694,direct access storage device (dasd),Software
695,health information exchange (hie) design,Support Activities
697,pattern recognition,Support Activities
699,microarray analysis,Support Activities
700,marketing writing,Support Activities
703,solar photovoltaic business development,Ideation and Development
705,e-commerce solutions,Support Activities
708,design change recommendation,Support Activities
710,hydrology,Support Activities
711,investor relations,Support Activities
713,online media campaigns,Support Activities
714,calor,General Skills
715,scientific computer systems,Software
716,patient interviewing,Support Activities
717,fibromyalgia,Software
718,direct attached storage,Support Activities
721,rett syndrome diagnosis / treatment,Software
724,drywall installation,Tooling and Machining
725,bathing,Support Activities
729,computer numerical control (cnc),Tooling and Machining
730,medical records compilation,Software
732,wrongful termination,Support Activities
733,neurogenetics,Software
734,investment management industry knowledge,Support Activities
735,clinical trial outlines,Support Activities
736,transportation management systems,Supply Chain and Logistics
737,central nervous system cns,Software
740,supply chain planning systems,Supply Chain and Logistics
743,chair massage,Support Activities
744,chemical libraries,Materials
745,cryogenic storage,Software
749,current good manufacturing practices (cgmp),Production and Assembling
750,geospatial intelligence,Support Activities
754,clinical programming,Software
756,photonic integration,Software
757,test results recording,Support Activities
758,dielectric characterization,Materials
759,filling preparation,Support Activities
760,holos,Support Activities
763,media training,Support Activities
764,surgery,Support Activities
769,growing pains,Software
773,greenplum,Software
774,strategic thinking,General Skills
776,bone marrow biopsy,Materials
777,procurement,Supply Chain and Logistics
778,nursing home,Support Activities
780,digital video workflow,Design
783,lead management,Support Activities
784,clinical trial monitoring,Support Activities
785,rpg ii,Design
786,nida,Support Activities
787,expense report auditing,Support Activities
793,systemic therapy,Support Activities
795,ms dos,Software
796,refrigerator installation,Tooling and Machining
800,vitrectomy,Software
801,atopic dermatitis diagnosis / treatment,Software
802,ibm z/os operating system,Software
803,supply chain streamlining,Supply Chain and Logistics
804,analyte detection,Materials
805,database modeling,Software
806,icd 502,Software
809,water pollution control,Tooling and Machining
810,transportation backhaul,Supply Chain and Logistics
811,electronic inventory record maintenance,Tooling and Machining
814,dietary supplements,Support Activities
815,post production,Support Activities
816,psychosis,Software
817,digital audio workstation,Software
818,diagnostic and statistical manual of mental disorders,Software
819,computational modeling,Ideation and Development
820,cognitive science,Ideation and Development
821,logistics plan optimization,Supply Chain and Logistics
822,vessel maintenance,Tooling and Machining
823,securities trading,Support Activities
825,water utility industry knowledge,Production and Assembling
828,biofuels research,Materials
829,patient follow-up,Support Activities
830,photomicrograph preparation,Tooling and Machining
832,first aid,General Skills
833,solar manufacturing,Production and Assembling
834,global services,Support Activities
835,transcranial magnetic stimulation,Materials
836,freelance graphics,Design
838,sales automation software,Support Activities
839,sleep - disordered breathing,Software
840,sustainability campaigns,Support Activities
841,sql server reporting services (ssrs),Software
842,dermatopathology,Software
843,mucosa,Software
845,chromatin structure,Materials
847,human resource management,Support Activities
848,adult psychiatry,Support Activities
850,leadership,General Skills
852,payment processing industry knowledge,Support Activities
854,locomotive safety,Supply Chain and Logistics
855,filemaker pro,Software
856,dna structure,Materials
857,organize images,Design
858,press brakes,Production and Assembling
860,silica,Materials
861,brain tumor,Software
862,cinematography,Design
866,fischer-tropsch process,Support Activities
867,suicide prevention,Support Activities
868,cancer stem cells,Materials
869,agonist,Materials
870,streetcars,Tooling and Machining
871,neurosurgery,Software
874,health informatics,Software
876,vehicle construction,Tooling and Machining
880,vestibular disorders,Materials
881,dimensional and relational modeling,Software
882,algebra ii,Support Activities
883,content development,Ideation and Development
889,care management software,Software
890,resource conservation,Support Activities
891,chargemaster,Software
892,silicon graphics,Software
894,direct hire industry knowledge,Support Activities
895,mas 90,Support Activities
897,copper extraction,Materials
899,farm management,Support Activities
900,data protection industry knowledge,Support Activities
902,random sample,Support Activities
903,clinical data abstracting,Software
904,product cost reduction,Support Activities
905,month-end close processes,Support Activities
906,patient care assessment,Support Activities
907,dielectric materials,Materials
909,fixed asset management,Support Activities
910,dispensing patients medication,Support Activities
911,event planning,Support Activities
912,organizational talent,Support Activities
915,head lice,Support Activities
917,angiography,Software
919,front counter work,Support Activities
921,computer-generated imagery (cgi),Design
923,thermometers,Tooling and Machining
926,nist sp 800-57,Software
927,prototype fabrication,Production and Assembling
928,carbon emissions reduction,Support Activities
930,hypothermia,Software
932,packing materials development,Ideation and Development
933,smalltalk,Software
934,new product information,Ideation and Development
935,marketing brochures,Support Activities
939,mining services,Support Activities
942,supply chain target implementation,Supply Chain and Logistics
943,medical research industry knowledge,Ideation and Development
944,entertainment industry knowledge,Support Activities
946,green strategy,Support Activities
947,pipe welding,Production and Assembling
948,photodraw,Software
949,angiogenesis,Software
950,nickel stripping,Materials
952,equipment repair,Tooling and Machining
956,flexible sigmoidoscopy,Software
957,operations analysis,Supply Chain and Logistics
958,piping assembly,Tooling and Machining
959,call priority monitoring,Support Activities
960,logistics management,Supply Chain and Logistics
962,internet information server,Software
963,hand tools,Tooling and Machining
964,meter reading,Tooling and Machining
965,tax returns,Support Activities
971,dietetics,Software
972,oracle e-business suite 11i,Software
973,investment services marketing,Support Activities
974,instagram,Support Activities
975,onboarding,Support Activities
977,photonic integrated circuits,Tooling and Machining
978,post campaign analysis,Support Activities
979,trach / vent,Software
980,reimbursement regulations,Support Activities
981,natural product chemistry,Materials
984,medical software,Software
985,lithium extraction,Software
986,pdp-11,Software
988,gas collection systems,Tooling and Machining
989,load runner,Software
990,adp enterprise,Support Activities
992,roof mechanics,Tooling and Machining
994,motorboats,Tooling and Machining
995,training programs,Support Activities
996,brand loyalty,Support Activities
997,order status follow-up,Support Activities
998,environmental conservation,Support Activities
1001,hydraulic jacks,Tooling and Machining
1002,cell adhesion,Materials
1003,experimental testing,Ideation and Development
1004,short message service center (smsc),Support Activities
1005,norton ghost,Software
1006,data mining,Support Activities
1007,gastroesophageal reflux disease knowledge,Production and Assembling
1008,watershed operations,Support Activities
1010,shelving,Supply Chain and Logistics
1012,hyper-v,Software
1014,casualty insurance industry knowledge,Support Activities
1015,child care program,Support Activities
1016,clintrial,Software
1017,equipment logs,Tooling and Machining
1018,computer problem resolution,Software
1020,sheet metal installation,Production and Assembling
1022,pressure wound,Tooling and Machining
1025,opioid,Software
1026,finding aids,Support Activities
1027,corporate travel,Support Activities
1028,newborn intensive care unit,Tooling and Machining
1031,ports protocol and services,Software
1032,dietetics industry knowledge,Materials
1035,niehs,Software
1036,brush hogs,Support Activities
1037,critical care/intensive care,Support Activities
1039,high-tech electronics manufacturing,Production and Assembling
1041,transformer design,Design
1042,pimple diagnosis / treatment,Support Activities
1043,vendor-management inventory,Supply Chain and Logistics
1044,electrocochleography,Software
1045,microscopic examination,Support Activities
1046,research council,Support Activities
1047,rpg iii,Design
1048,lisp,Software
1049,structural design,Design
1051,front end alignment,Software
1052,radio production,Support Activities
1055,automotive insurance,Support Activities
1056,employee selection,Support Activities
1057,addiction treatment,Materials
1058,strategic management,Support Activities
1059,plumbing fixture installation,Tooling and Machining
1060,site investigations,Support Activities
1061,interior design,Design
1062,celestial navigation,Software
1065,biostatistics,Support Activities
1067,speech therapy,Support Activities
1068,cassandra,Software
1069,supply chain technology management,Supply Chain and Logistics
1070,product location,Supply Chain and Logistics
1071,sas supply chain,Software
1073,sales contracts,Support Activities
1074,year-end reconciliation,Support Activities
1075,blower doors,Tooling and Machining
1077,voltage testers,Tooling and Machining
1078,chinese medicine,General Skills
1080,digital journalism,Support Activities
1081,meditation,General Skills
1082,hemorrhoid,Software
1083,facility design,Design
1085,emissions reduction,Support Activities
1088,customer experience improvement,Support Activities
1090,nephritis,Software
1091,web site design,Software
1092,transport planning,Supply Chain and Logistics
1094,financial statement modeling,Support Activities
1096,cost accounting,Support Activities
1099,epic systems,Software
1102,direct marketing,Support Activities
1103,dry skin diagnosis / treatment,Software
1104,icd-10,Software
1106,piano,Design
1108,west nile virus,Software
1109,media contact,Support Activities
1110,aluminum tig welding,Production and Assembling
1111,metal manufacturing,Production and Assembling
1112,real estate sales,Support Activities
1113,occupational therapy,Support Activities
1114,procurement order cycle (poc),Supply Chain and Logistics
1116,management reporting,Support Activities
1117,adenovirus,Software
1118,patient hygiene assistance,Support Activities
1119,fluoridation,Materials
1120,materials design,Design
1122,application programming interface (api),Software
1123,procedure maintenance,Support Activities
1124,corporate reporting,Support Activities
1129,decision support,Support Activities
1130,reverse logistics,Supply Chain and Logistics
1131,electronic design automation software,Software
1132,frame carpentry,Tooling and Machining
1134,robotic liquid handling,Tooling and Machining
1135,clinical data exchange,Support Activities
1138,strategic sourcing,Supply Chain and Logistics
1139,machine learning,Support Activities
1140,adult care,Support Activities
1141,front-end development,Software
1143,risk modeling,Support Activities
1146,air hammers,Tooling and Machining
1147,blackberry enterprise server,Support Activities
1148,engineering design,Design
1149,oracle pl/sql,Software
1150,full cycle accounts recievable,Support Activities
1151,municipal planning,Support Activities
1153,synthroid,Materials
1155,ad hoc analysis,Support Activities
1156,strategic hr leadership,Support Activities
1157,sap,Software
1159,java swing,Software
1160,device repair,Tooling and Machining
1163,dysplasia,Software
1165,weatherization,Software
1166,merchandise support,Support Activities
1167,estradiol,Materials
1168,restoration needs,Supply Chain and Logistics
1169,giving accurate change,General Skills
1171,benzene,Materials
1172,highway design,Design
1173,printer problem resolution,Software
1174,datacom,Software
1175,tax compliance,Support Activities
1176,medical triage,Support Activities
1177,air conditioning system installation,Tooling and Machining
1179,pre - press production,Production and Assembling
1180,category dynamics,Support Activities
1181,interventional radiology (ir),Support Activities
1182,computational fluid dynamics analysis tools,Software
1183,regional planning,Support Activities
1184,higher education leadership,Support Activities
1185,mechanical reamers,Tooling and Machining
1186,nosology,Software
1187,orthopedic surgery,Support Activities
1189,sql server,Software
1191,demand forecasting,Supply Chain and Logistics
1195,magnetic resonance imaging (mri),Materials
1196,procurement issues,Supply Chain and Logistics
1198,policy revision,Support Activities
1199,direct mail,Support Activities
1200,photojournalism,Support Activities
1201,mathcad,Ideation and Development
1202,program planning,Support Activities
1203,asset management industry knowledge,Support Activities
1205,server migration,Software
1207,ecological / environmental impact studies,Support Activities
1208,office supply ordering,Support Activities
1209,statutory accounting principles,Support Activities
1210,carbon accounting,Support Activities
1212,bcomm,Software
1215,pneumatic blueprints,Tooling and Machining
1216,industrial mechanic experience,Tooling and Machining
1217,home appliance industry knowledge,Tooling and Machining
1218,air sampling,Support Activities
1219,cross sell,Support Activities
1220,online acquisition,Support Activities
1221,antigen,Materials
1223,ground patrol,Tooling and Machining
1224,oil drilling,Tooling and Machining
1225,height gauges,Tooling and Machining
1228,atherectomy,Software
1229,digital curation,Support Activities
1230,root canal,Software
1231,managerial accounting,Support Activities
1232,medical equipment instruction,Tooling and Machining
1234,close tolerance welding,Production and Assembling
1235,geiger counter,Tooling and Machining
1236,apple iwork,Software
1240,run - off collection networks,Software
1241,anticoagulant,Materials
1242,critical value analysis,Support Activities
1244,project design,Support Activities
1245,drug formulary,Support Activities
1246,physical distribution,Support Activities
1247,new construction,Support Activities
1248,integrated systems technology,Software
1250,enemas,Tooling and Machining
1251,logistics strategies,Supply Chain and Logistics
1252,federal consolidated returns,Support Activities
1253,database reporting software,Software
1254,icms,Software
1255,rock climbing,General Skills
1256,ibm infosphere biginsights,Software
1258,reinforced concrete design,Software
1259,decision support systems,Support Activities
1260,rock strip mining,Support Activities
1263,control theory,Software
1264,visualizer,Software
1267,pinterest,Support Activities
1269,logging as a service (laas),Software
1270,convenience store industry knowledge,Supply Chain and Logistics
1272,premis,Software
1273,sign sales,Support Activities
1274,international shipping,Supply Chain and Logistics
1275,phone screens,Support Activities
1276,clinic management,Support Activities
1277,familiarity with drug names,Support Activities
1278,logging operations,Support Activities
1279,environmental industry knowledge,Support Activities
1281,thermoluminescent dosimeters,Software
1282,endoscopic procedure,Support Activities
1283,event catering,Support Activities
1284,program implementation,Support Activities
1285,subpoena review,Support Activities
1286,antibody function,Support Activities
1287,space planning,Supply Chain and Logistics
1290,nielsen adviews,Software
1291,drywall painting,Tooling and Machining
1292,ipx/spx,Software
1293,flow diagrams,Support Activities
1294,technical services marketing,Support Activities
1295,janitorial industry knowledge,Support Activities
1296,telephone technical support,Software
1297,regional trucking,Supply Chain and Logistics
1298,sales channel development,Support Activities
1299,pipe - threading machine,Tooling and Machining
1300,reactive oxygen species,Materials
1303,blood glucose meter,Tooling and Machining
1304,recycling tracking,Supply Chain and Logistics
1305,social media campaign,Support Activities
1307,dentistry,Support Activities
1309,flexible electronics,Tooling and Machining
1311,new product marketing,Support Activities
1312,commercial lending,Support Activities
1313,trade media,Support Activities
1314,asthmatic,Software
1316,marklogic,Software
1318,lan administration,Software
1319,sensory integration,Software
1320,packaging sourcing,Supply Chain and Logistics
1321,vendor relations,Supply Chain and Logistics
1324,patient dressing,Support Activities
1325,water source testing,Software
1330,patient progress monitoring,Support Activities
1331,drug preparation,Support Activities
1332,behavior analysis,Support Activities
1333,group purchasing organization,Support Activities
1339,design analysis,Support Activities
1340,system v,Software
1341,biomanufacturing,Software
1342,retail store management,Supply Chain and Logistics
1343,wireless local area network (lan),Software
1344,urine drug screen,Support Activities
1345,power dispatching,Supply Chain and Logistics
1347,pashto,General Skills
1348,productivity improvement,Support Activities
1349,leasing industry knowledge,Support Activities
1350,water demand forecasting,Support Activities
1351,interior planning,Support Activities
1352,instructional program design,Design
1353,pro*c,Software
1354,elastomer industry knowledge,Materials
1355,supply inventory,Supply Chain and Logistics
1356,generally accepted auditing standards (gaas),Support Activities
1357,group fitness,Support Activities
1359,novels,Support Activities
1360,account reconciliation,Support Activities
1361,structural modeling,Support Activities
1362,food security,Support Activities
1363,office automation,Support Activities
1364,internal mobility,Support Activities
1365,vital signs measurement,Support Activities
1366,idiopathic,Materials
1367,tank trailer,Tooling and Machining
1369,electromechanical surgical devices,Tooling and Machining
1372,computer literacy,General Skills
1373,biophysical analysis,Support Activities
1375,fuel cell research,Materials
1377,capd,Software
1378,adp payroll,Support Activities
1379,price reviews,Support Activities
1380,rosacea,Support Activities
1381,flatbed trucks,Supply Chain and Logistics
1382,plant micropropagation,Tooling and Machining
1383,pharmaceutical industry knowledge,Materials
1384,international unit,Support Activities
1385,value engineering facilitation,Production and Assembling
1386,proteins,Materials
1387,building codes,Support Activities
1388,robohelp,Software
1392,animal dander,Support Activities
1393,clean air act,Tooling and Machining
1394,skin care,Support Activities
1395,inventory cost,Support Activities
1396,insurance underwriting,Support Activities
1399,business systems analysis,Support Activities
1403,product marketing,Support Activities
1405,magnetic component design,Software
1407,alternative investments,Support Activities
1408,progress reports,Support Activities
1409,electrical current meters,Tooling and Machining
1410,e-media management,Support Activities
1411,framing squares,Support Activities
1413,staff maintenance,Support Activities
1414,naive bayes,Support Activities
1417,vessel equipment,Tooling and Machining
1418,biofuels processing,Materials
1421,itil,Software
1424,tin stripping,Tooling and Machining
1425,alternative fuels,Tooling and Machining
1426,public relations strategy,Support Activities
1428,plumbing installation,Tooling and Machining
1430,ux wireframes,Design
1432,antivirals,Support Activities
1433,medical record logging,Support Activities
1435,warehouse operations,Supply Chain and Logistics
1437,viral marketing,Support Activities
1438,foundation design,Support Activities
1439,financial statements,Support Activities
